,path,num_frames
6765,844424930746197-973-f.wav,94738
5620,844424930694053-292-m.wav,84707
21247,844424931288523-1044-f.wav,97338
42052,844424931890936-704-f.wav,81734
30598,844424931433417-1163-f.wav,102911
79248,844424933626827-700-m.wav,92137
44552,844424932470784-1147-f.wav,78019
56626,844424932820925-775-f.wav,78019
35601,844424931504057-1200-f.wav,98824
10795,844424930867601-1136-m.wav,72075
27780,844424931399471-1136-m.wav,77648
67788,844424933075012-976-f.wav,60186
39484,844424931552702-782-f.wav,178329
34636,844424931495274-101-f.wav,105883
12032,844424930912589-812-f.wav,64645
52884,844424932716189-1200-f.wav,68731
6426,844424930724739-396-f.wav,106255
43037,844424932434726-209-f.wav,65759
50464,844424932639965-1147-f.wav,117029
12385,844424930924398-930-f.wav,127803
69402,844424933111422-830-f.wav,74304
31251,844424931439746-1163-f.wav,89165
50796,844424932641544-177-f.wav,77276
4785,844424930659907-1031-f.wav,96224
65385,844424933052476-521-f.wav,82849
11599,844424930904305-812-f.wav,58329
11201,844424930881249-973-f.wav,62787
5103,844424930678970-396-f.wav,105512
59497,844424932898217-850-f.wav,69103
56434,844424932820195-775-f.wav,78019
59760,844424932909651-979-f.wav,106255
506,844424930443133-930-f.wav,123345
23924,844424931335732-608-f.wav,78019
24415,844424931340561-1031-f.wav,67617
35953,844424931506773-249-f.wav,76533
18196,844424931166209-101-f.wav,91765
17975,844424931154097-1031-f.wav,67617
4616,844424930655716-292-m.wav,134119
19019,844424931208877-812-f.wav,101053
73718,844424933146566-976-f.wav,122230
30534,844424931432737-782-f.wav,100682
13633,844424930973247-812-f.wav,66502
78074,844424933624578-700-m.wav,99196
33205,844424931465878-704-f.wav,89165
42296,844424932313909-1127-f.wav,122602
54815,844424932782833-373-m.wav,110341
23938,844424931335752-608-f.wav,75047
18417,844424931172674-812-f.wav,85078
5527,844424930687920-594-f.wav,121858
52522,844424932679701-830-f.wav,78391
25014,844424931350931-812-f.wav,52756
18385,844424931172637-812-f.wav,79134
26477,844424931378636-1031-f.wav,96595
40457,844424931564856-594-f.wav,80991
19907,844424931245043-1136-m.wav,84335
14020,844424930985696-1031-f.wav,71332
38943,844424931550757-1200-f.wav,80248
41265,844424931569201-594-f.wav,80991
80594,844424933633424-1199-m.wav,60929
58088,844424932852917-850-f.wav,54985
80984,844424933637159-1199-m.wav,71332
21482,844424931293101-1044-f.wav,85821
42061,844424931890948-704-f.wav,87307
59764,844424932909657-979-f.wav,75047
69382,844424933109602-196-f.wav,35666
57712,844424932848452-449-m.wav,79877
60217,844424932913596-180-f.wav,124831
18220,844424931166242-101-f.wav,128917
22912,844424931323202-1044-f.wav,92508
31758,844424931443718-1163-f.wav,81363
55272,844424932792736-850-f.wav,75419
59795,844424932909728-979-f.wav,108112
16556,844424931107073-396-f.wav,68360
16035,844424931077176-396-f.wav,70960
50491,844424932640403-600-f.wav,99939
52611,844424932698633-373-m.wav,85450
49918,844424932624162-553-f.wav,92508
25823,844424931369966-608-f.wav,75419
15790,844424931067291-812-f.wav,70589
45545,844424932511479-553-f.wav,107741
43597,844424932444567-1147-f.wav,86936
12331,844424930924336-930-f.wav,179072
1339,844424930560955-973-f.wav,140063
